BRIDGE | DEBUG | 10:58:44 | 32.88 | Mesh bounding box: Center: (0.529, -0.788, 1.757), Extents: (0.002, 0.000, 0.000)
BRIDGE | TRACE | 10:58:44 | 32.88 | MakeObject() : moonLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:44 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:44 | 32.88 | transmitObject(), Obj Name: moonLabel, object guid: ede3e029-b7f1-46f2-b828-b82dc78f22be
BRIDGE | TRACE | 10:58:44 | 32.88 | Transmitting Object, message guid: b8adce8e-c08f-42a1-857f-7c103a9fe728
BRIDGE | TRACE | 10:58:44 | 32.88 | initializeObject() : moonLabel
BRIDGE | DEBUG | 10:58:44 | 32.88 | Setting object moonLabel parent to Moon
BRIDGE | TRACE | 10:58:44 | 32.88 | modifyObject() : moonLabel
BRIDGE | DEBUG | 10:58:44 | 32.88 | Position: (2.878, -0.548, 1.262), scale: (0.400, 0.400, 0.400), EulerAngles: (0.000, 281.885, 0.000)
BRIDGE | DEBUG | 10:58:44 | 32.88 | Modifying Text: The Moon
BRIDGE | DEBUG | 10:58:44 | 32.88 | Mesh bounding box: Center: (2.878, -0.548, 1.261), Extents: (0.018, 0.015, 0.087)
BRIDGE | TRACE | 10:58:44 | 32.88 | MakeObject() : moonSizeLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:44 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:44 | 32.88 | transmitObject(), Obj Name: moonSizeLabel, object guid: f73b6cb5-aa7f-4ce8-b8d0-e1056f3a0ab9
BRIDGE | TRACE | 10:58:44 | 32.88 | Transmitting Object, message guid: a2a88e70-c843-4e62-9066-44a4eb11d0e1
BRIDGE | TRACE | 10:58:44 | 32.88 | initializeObject() : moonSizeLabel
BRIDGE | DEBUG | 10:58:44 | 32.88 | Setting object moonSizeLabel parent to Moon
BRIDGE | TRACE | 10:58:44 | 32.88 | modifyObject() : moonSizeLabel
BRIDGE | DEBUG | 10:58:44 | 32.88 | Position: (2.878, -0.708, 1.262), scale: (0.002, 0.002, 0.002), EulerAngles: (0.000, 281.885, 0.000)
BRIDGE | DEBUG | 10:58:44 | 32.88 | Modifying Text: 2000 miles
BRIDGE | DEBUG | 10:58:44 | 32.88 | Mesh bounding box: Center: (2.878, -0.708, 1.262), Extents: (0.000, 0.000, 0.000)
BRIDGE | TRACE | 10:58:45 | 32.88 | MakeObject() : moonDistanceLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:45 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:45 | 32.88 | transmitObject(), Obj Name: moonDistanceLabel, object guid: c8d2d0e5-0c7d-4df2-95a2-bc8123c34496
BRIDGE | TRACE | 10:58:45 | 32.88 | Transmitting Object, message guid: ab7659b8-cb07-4978-8661-be85e33d673a
BRIDGE | TRACE | 10:58:45 | 32.88 | initializeObject() : moonDistanceLabel
BRIDGE | DEBUG | 10:58:45 | 32.88 | Setting object moonDistanceLabel parent to Moon
BRIDGE | TRACE | 10:58:45 | 32.88 | modifyObject() : moonDistanceLabel
BRIDGE | DEBUG | 10:58:45 | 32.88 | Position: (3.758, -0.628, 1.077), scale: (0.002, 0.002, 0.002), EulerAngles: (0.000, 191.885, 0.000)
BRIDGE | DEBUG | 10:58:45 | 32.88 | Modifying Text: 240,000 miles
BRIDGE | DEBUG | 10:58:45 | 32.88 | Mesh bounding box: Center: (3.758, -0.628, 1.077), Extents: (0.002, 0.000, 0.000)
BRIDGE | TRACE | 10:58:45 | 32.88 | MakeObject() : taskLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:45 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:45 | 32.88 | transmitObject(), Obj Name: taskLabel, object guid: ef802efa-86f4-4910-9d48-4df1b9da3624
BRIDGE | TRACE | 10:58:45 | 32.88 | Transmitting Object, message guid: 5c305e30-e56c-4de6-8f39-099da6cd4398
BRIDGE | TRACE | 10:58:45 | 32.88 | initializeObject() : taskLabel
BRIDGE | DEBUG | 10:58:45 | 32.88 | Setting object taskLabel parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:58:45 | 32.88 | modifyObject() : taskLabel
BRIDGE | DEBUG | 10:58:45 | 32.88 | Position: (0.735, -0.028, 2.735), scale: (0.600, 0.600, 0.600), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:45 | 32.88 | Modifying Text: Introduction
BRIDGE | DEBUG | 10:58:45 | 32.88 | Mesh bounding box: Center: (0.736, -0.028, 2.735), Extents: (0.151, 0.023, 0.032)
BRIDGE | TRACE | 10:58:45 | 32.88 | MakeObject() : sectionLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:45 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:45 | 32.88 | transmitObject(), Obj Name: sectionLabel, object guid: c2358be5-e1c4-4800-b521-2b2d6ed3261f
BRIDGE | TRACE | 10:58:46 | 32.88 | Transmitting Object, message guid: 0ddc7175-6afd-499b-b3b2-c4d2ffafb314
BRIDGE | TRACE | 10:58:46 | 32.88 | initializeObject() : sectionLabel
BRIDGE | DEBUG | 10:58:46 | 32.88 | Setting object sectionLabel parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:58:46 | 32.88 | modifyObject() : sectionLabel
BRIDGE | DEBUG | 10:58:46 | 32.88 | Position: (0.735, 0.122, 2.735), scale: (0.600, 0.600, 0.600), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:46 | 32.88 | Modifying Text: Sizes and Scales of the Earth and Moon
BRIDGE | DEBUG | 10:58:46 | 32.88 | Mesh bounding box: Center: (0.734, 0.122, 2.735), Extents: (0.523, 0.023, 0.110)
BRIDGE | TRACE | 10:58:46 | 32.88 | MakeObject() : brbNextModule, type: Prefabs/demoButtonPrefab, transmitted: False
BRIDGE | TRACE | 10:58:46 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:46 | 32.88 | transmitObject(), Obj Name: brbNextModule, object guid: 864d4d3e-8829-41b2-ac4a-b44b18b07ad3
BRIDGE | TRACE | 10:58:46 | 32.88 | Transmitting Object, message guid: 8526a0e2-8394-4093-8469-83da6d88be1f
BRIDGE | TRACE | 10:58:46 | 32.88 | initializeObject() : brbNextModule
BRIDGE | DEBUG | 10:58:46 | 32.88 | Setting object brbNextModule parent to sectionLabel
BRIDGE | TRACE | 10:58:46 | 32.88 | modifyObject() : brbNextModule
BRIDGE | DEBUG | 10:58:46 | 32.88 | Position: (1.440, 0.122, 2.587), scale: (0.600, 0.600, 0.600), EulerAngles: (90.000, 191.885, 0.000)
BRIDGE | DEBUG | 10:58:46 | 32.88 |  Adding component: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]}
BRIDGE | DEBUG | 10:58:46 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: brbNextModule
BRIDGE | TRACE | 10:58:46 | 32.88 | MakeObject() : brbNextModuleLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:46 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:46 | 32.88 | transmitObject(), Obj Name: brbNextModuleLabel, object guid: 35003f43-1ea0-4aee-acb2-2982080ce4b1
BRIDGE | TRACE | 10:58:46 | 32.88 | Transmitting Object, message guid: 4d019c5d-f488-4181-8c6c-5efd4b0f15c8
BRIDGE | TRACE | 10:58:47 | 32.88 | initializeObject() : brbNextModuleLabel
BRIDGE | DEBUG | 10:58:47 | 32.88 | Setting object brbNextModuleLabel parent to brbNextModule
BRIDGE | TRACE | 10:58:47 | 32.88 | modifyObject() : brbNextModuleLabel
BRIDGE | DEBUG | 10:58:47 | 32.88 | Position: (1.440, 0.044, 2.587), scale: (0.360, 0.360, 0.360), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:47 | 32.88 | Modifying Text: Next  Module
BRIDGE | DEBUG | 10:58:47 | 32.88 | Mesh bounding box: Center: (1.445, 0.043, 2.586), Extents: (0.056, 0.034, 0.012)
BRIDGE | TRACE | 10:58:47 | 32.88 | MakeObject() : brbPreviousModule, type: Prefabs/demoButtonPrefab, transmitted: False
BRIDGE | TRACE | 10:58:47 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:47 | 32.88 | transmitObject(), Obj Name: brbPreviousModule, object guid: 6ffb0b76-9654-466c-8ecc-d23a520b1edc
BRIDGE | TRACE | 10:58:47 | 32.88 | Transmitting Object, message guid: 87810812-cb51-4ed6-a0e0-e4e3bbd9f1a3
BRIDGE | TRACE | 10:58:47 | 32.88 | initializeObject() : brbPreviousModule
BRIDGE | DEBUG | 10:58:47 | 32.88 | Setting object brbPreviousModule parent to sectionLabel
BRIDGE | TRACE | 10:58:47 | 32.88 | modifyObject() : brbPreviousModule
BRIDGE | DEBUG | 10:58:47 | 32.88 | Position: (0.031, 0.122, 2.883), scale: (0.600, 0.600, 0.600), EulerAngles: (90.000, 191.885, 0.000)
BRIDGE | DEBUG | 10:58:47 | 32.88 |  Adding component: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]}
BRIDGE | DEBUG | 10:58:47 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: brbPreviousModule
BRIDGE | TRACE | 10:58:47 | 32.88 | MakeObject() : brbPreviousModuleLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:47 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:47 | 32.88 | transmitObject(), Obj Name: brbPreviousModuleLabel, object guid: 124e7d31-9b66-4008-914c-3e419fa0cac9
BRIDGE | TRACE | 10:58:47 | 32.88 | Transmitting Object, message guid: b75128c3-c005-4fc6-86fc-a62ceb283d11
BRIDGE | TRACE | 10:58:48 | 32.88 | initializeObject() : brbPreviousModuleLabel
BRIDGE | DEBUG | 10:58:48 | 32.88 | Setting object brbPreviousModuleLabel parent to brbPreviousModule
BRIDGE | TRACE | 10:58:48 | 32.88 | modifyObject() : brbPreviousModuleLabel
BRIDGE | DEBUG | 10:58:48 | 32.88 | Position: (0.031, 0.044, 2.883), scale: (0.360, 0.360, 0.360), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:48 | 32.88 | Modifying Text: Previous   Module
BRIDGE | DEBUG | 10:58:48 | 32.88 | Mesh bounding box: Center: (0.031, 0.044, 2.883), Extents: (0.067, 0.034, 0.014)
BRIDGE | TRACE | 10:58:48 | 32.88 | MakeObject() : brbNextClip, type: Prefabs/demoButtonPrefab, transmitted: False
BRIDGE | TRACE | 10:58:48 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:48 | 32.88 | transmitObject(), Obj Name: brbNextClip, object guid: 516277c8-b4e8-4612-8f76-6622100d65f1
BRIDGE | TRACE | 10:58:48 | 32.88 | Transmitting Object, message guid: 52bf500e-543a-4931-ad26-9fc5cf14f453
BRIDGE | TRACE | 10:58:48 | 32.88 | initializeObject() : brbNextClip
BRIDGE | DEBUG | 10:58:48 | 32.88 | Setting object brbNextClip parent to taskLabel
BRIDGE | TRACE | 10:58:48 | 32.88 | modifyObject() : brbNextClip
BRIDGE | DEBUG | 10:58:48 | 32.88 | Position: (1.322, -0.028, 2.612), scale: (0.600, 0.600, 0.600), EulerAngles: (90.000, 191.885, 0.000)
BRIDGE | DEBUG | 10:58:48 | 32.88 |  Adding component: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]}
BRIDGE | DEBUG | 10:58:48 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: brbNextClip
BRIDGE | TRACE | 10:58:48 | 32.88 | MakeObject() : brbNextClipLabel, type: Prefabs/textPrefab, transmitted: False
BRIDGE | TRACE | 10:58:48 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:48 | 32.88 | transmitObject(), Obj Name: brbNextClipLabel, object guid: 8a9034d3-a58c-4b20-a599-7c50148cddac
BRIDGE | TRACE | 10:58:48 | 32.88 | Transmitting Object, message guid: c7c109b0-110d-4c0c-8ed8-328855221c5f
BRIDGE | TRACE | 10:58:48 | 32.88 | initializeObject() : brbNextClipLabel
BRIDGE | DEBUG | 10:58:49 | 32.88 | Setting object brbNextClipLabel parent to brbNextClip
BRIDGE | TRACE | 10:58:49 | 32.88 | modifyObject() : brbNextClipLabel
BRIDGE | DEBUG | 10:58:49 | 32.88 | Position: (1.322, -0.088, 2.612), scale: (0.360, 0.360, 0.360), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:49 | 32.88 | Modifying Text: Next
BRIDGE | DEBUG | 10:58:49 | 32.88 | Mesh bounding box: Center: (1.324, -0.089, 2.611), Extents: (0.035, 0.013, 0.007)
BRIDGE | TRACE | 10:58:49 | 32.88 | MakeObject() : brbPreviousClip, type: Prefabs/demoButtonPrefab, transmitted: False
BRIDGE | TRACE | 10:58:49 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:49 | 32.88 | transmitObject(), Obj Name: brbPreviousClip, object guid: a277b101-e963-4840-8a87-3b8616607372
BRIDGE | TRACE | 10:58:49 | 32.88 | Transmitting Object, message guid: db7262b6-9ab1-4128-a73d-e8bd52659194
BRIDGE | TRACE | 10:58:49 | 32.88 | initializeObject() : brbPreviousClip
BRIDGE | DEBUG | 10:58:49 | 32.88 | Setting object brbPreviousClip parent to taskLabel
BRIDGE | TRACE | 10:58:49 | 32.88 | modifyObject() : brbPreviousClip
